sl_no,gender,age,address,Medu,Fedu,Mjob,Fjob,famsup,paid,activities,internet,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
11522,F,21,U,4,1,other,health,yes,yes,no,no,92,State,57,Central,Arts,81,Comm&Mgmt,No,83,Mkt&HR,87,Not Placed,
11523,M,18,U,1,3,at_home,services,no,no,yes,no,67,Central,78,Central,Commerce,85,Sci&Tech,No,84,Mkt&HR,75,Not Placed,
11524,F,21,R,3,4,services,at_home,yes,no,no,no,81,State,76,Central,Arts,66,Sci&Tech,No,83,Mkt&HR,73,Not Placed,
11525,M,20,U,2,1,at_home,services,no,yes,no,yes,59,Central,70,Private,Commerce,72,Sci&Tech,Yes,61,Mkt&Fin,68,Placed,300000
11526,F,20,U,2,3,teacher,other,yes,no,yes,yes,58,Private,77,Central,Science,88,Sci&Tech,Yes,55,Mkt&Fin,54,Not Placed,
11527,F,22,R,2,4,at_home,at_home,yes,yes,yes,no,72,State,68,State,Commerce,83,Comm&Mgmt,Yes,51,Mkt&Fin,82,Placed,350000
11528,M,23,R,1,2,health,services,no,no,yes,no,70,Central,61,State,Arts,73,Sci&Tech,Yes,88,Mkt&Fin,54,Not Placed,
11529,F,22,R,1,4,other,other,no,yes,yes,no,54,State,55,State,Arts,67,Comm&Mgmt,No,82,Mkt&HR,66,Placed,300000
11530,F,23,R,2,4,services,health,yes,yes,no,yes,50,Central,76,State,Science,73,Sci&Tech,Yes,59,Mkt&Fin,94,Not Placed,
11531,M,19,U,1,1,services,health,no,no,yes,yes,82,State,83,State,Arts,56,Comm&Mgmt,Yes,59,Mkt&Fin,73,Not Placed,
11532,F,19,U,2,2,health,teacher,no,no,yes,yes,69,State,67,Private,Commerce,92,Comm&Mgmt,No,64,Mkt&Fin,52,Placed,350000
11533,M,18,U,3,1,at_home,teacher,yes,no,no,no,83,Private,88,State,Science,53,Sci&Tech,Yes,68,Mkt&Fin,66,Placed,300000
11534,M,18,R,4,2,teacher,at_home,no,no,no,yes,67,Private,90,State,Commerce,53,Sci&Tech,No,51,Mkt&HR,81,Placed,300000
11535,M,19,U,1,2,teacher,teacher,no,no,no,yes,68,Private,79,Private,Science,65,Comm&Mgmt,Yes,86,Mkt&HR,75,Placed,350000
11536,F,21,R,4,2,health,other,yes,no,yes,yes,89,Private,88,Private,Commerce,81,Comm&Mgmt,No,74,Mkt&HR,54,Not Placed,
11537,F,23,U,1,3,services,at_home,yes,yes,yes,no,82,Private,50,State,Commerce,54,Comm&Mgmt,No,70,Mkt&HR,84,Placed,350000
11538,F,18,U,4,4,other,teacher,yes,yes,no,no,95,Private,91,State,Science,83,Comm&Mgmt,No,83,Mkt&HR,59,Placed,355000
11539,F,23,R,1,4,health,health,no,yes,yes,no,73,State,92,State,Arts,81,Comm&Mgmt,Yes,84,Mkt&Fin,52,Placed,400000
11540,M,23,R,3,3,health,at_home,no,yes,yes,yes,52,Private,85,State,Commerce,62,Sci&Tech,Yes,50,Mkt&Fin,51,Placed,350000
11541,F,19,R,1,2,at_home,teacher,no,yes,yes,yes,75,State,64,Private,Science,85,Sci&Tech,Yes,58,Mkt&Fin,83,Not Placed,
11542,M,20,U,4,2,other,at_home,yes,yes,no,no,66,Private,74,Private,Science,62,Comm&Mgmt,Yes,59,Mkt&HR,69,Placed,400000
11543,M,21,U,4,4,other,other,no,yes,no,yes,66,Private,77,Central,Science,77,Comm&Mgmt,No,53,Mkt&HR,86,Placed,350000
11544,F,23,R,2,4,health,teacher,yes,no,no,yes,55,State,95,Central,Arts,55,Comm&Mgmt,No,80,Mkt&HR,68,Not Placed,
11545,F,18,U,3,2,at_home,services,yes,no,no,yes,60,Central,94,Central,Arts,58,Sci&Tech,Yes,57,Mkt&HR,53,Not Placed,
11546,F,22,R,2,4,other,other,no,yes,no,yes,69,Private,82,Private,Arts,89,Comm&Mgmt,No,75,Mkt&HR,75,Not Placed,
11547,F,18,U,4,1,at_home,services,yes,no,yes,no,78,Private,86,State,Arts,95,Sci&Tech,No,92,Mkt&Fin,94,Not Placed,
11548,M,22,U,3,3,other,at_home,yes,no,no,no,71,Private,54,State,Arts,76,Sci&Tech,Yes,93,Mkt&Fin,70,Not Placed,
11549,F,19,U,1,3,health,at_home,no,yes,no,no,50,Central,57,Private,Science,88,Comm&Mgmt,No,73,Mkt&HR,83,Placed,200000
11550,F,18,U,3,4,at_home,at_home,yes,yes,yes,yes,51,State,70,State,Science,50,Comm&Mgmt,Yes,50,Mkt&HR,91,Placed,200000
11551,M,23,U,2,4,services,health,yes,yes,yes,no,55,State,83,Central,Commerce,86,Comm&Mgmt,Yes,87,Mkt&Fin,57,Not Placed,
11552,F,19,R,1,3,services,at_home,yes,yes,no,no,57,Central,52,State,Commerce,65,Comm&Mgmt,Yes,89,Mkt&Fin,53,Placed,250000
11553,M,23,R,2,4,teacher,health,no,no,yes,no,75,Central,92,Private,Science,92,Sci&Tech,No,68,Mkt&Fin,89,Not Placed,
11554,F,18,R,3,3,teacher,other,yes,yes,yes,yes,79,Central,83,Private,Commerce,54,Comm&Mgmt,No,76,Mkt&Fin,59,Not Placed,
11555,M,18,U,3,2,at_home,teacher,yes,yes,yes,no,60,Central,55,Private,Science,63,Comm&Mgmt,Yes,57,Mkt&HR,75,Not Placed,
11556,M,19,R,4,4,other,health,yes,no,no,yes,84,State,70,Central,Science,68,Comm&Mgmt,Yes,76,Mkt&HR,94,Placed,250000
11557,M,21,R,3,1,at_home,other,no,yes,no,yes,93,State,72,State,Arts,74,Sci&Tech,Yes,86,Mkt&HR,82,Placed,200000
11558,M,20,R,3,2,teacher,other,yes,yes,no,yes,59,Central,66,State,Arts,90,Sci&Tech,No,94,Mkt&HR,64,Placed,400000
11559,M,20,R,3,4,services,at_home,no,no,no,no,79,State,79,State,Commerce,95,Comm&Mgmt,Yes,83,Mkt&Fin,74,Not Placed,
11560,M,21,U,2,2,services,health,no,no,yes,no,74,Central,79,State,Science,76,Sci&Tech,Yes,72,Mkt&Fin,66,Not Placed,
11561,M,23,U,4,1,at_home,at_home,yes,yes,no,yes,67,State,80,Private,Arts,75,Comm&Mgmt,Yes,52,Mkt&Fin,85,Not Placed,
11562,M,20,R,1,4,at_home,at_home,no,no,yes,no,65,Central,51,Central,Science,85,Sci&Tech,Yes,66,Mkt&HR,89,Not Placed,
11563,F,22,R,1,4,services,services,no,yes,no,yes,90,Central,74,State,Science,65,Comm&Mgmt,No,67,Mkt&Fin,69,Not Placed,
11564,M,18,U,1,4,at_home,at_home,no,no,yes,no,71,Private,91,Private,Science,50,Comm&Mgmt,No,74,Mkt&Fin,84,Not Placed,
11565,M,22,U,2,4,other,other,yes,no,yes,yes,58,Central,51,Central,Science,94,Comm&Mgmt,Yes,72,Mkt&Fin,50,Not Placed,
11566,M,20,R,2,3,other,teacher,yes,no,yes,no,86,State,51,Private,Science,94,Sci&Tech,Yes,68,Mkt&HR,73,Not Placed,
11567,M,21,R,4,3,other,at_home,no,no,yes,yes,73,Central,78,Central,Science,57,Comm&Mgmt,No,95,Mkt&Fin,89,Not Placed,
11568,F,18,R,3,4,teacher,teacher,yes,yes,yes,no,59,Central,55,State,Science,62,Comm&Mgmt,No,63,Mkt&Fin,60,Not Placed,
11569,F,22,U,1,3,at_home,services,no,no,yes,yes,68,Central,63,State,Commerce,56,Comm&Mgmt,Yes,73,Mkt&HR,86,Placed,250000
11570,M,23,U,3,3,services,teacher,no,no,no,yes,67,State,58,Private,Science,50,Comm&Mgmt,Yes,79,Mkt&Fin,94,Not Placed,
11571,F,22,U,2,3,teacher,other,yes,yes,yes,yes,60,Private,73,State,Science,66,Sci&Tech,Yes,82,Mkt&HR,63,Placed,250000
11572,M,18,R,3,1,teacher,services,yes,no,yes,yes,52,State,76,State,Commerce,76,Comm&Mgmt,No,62,Mkt&Fin,66,Placed,400000
11573,M,19,R,3,2,services,other,yes,no,yes,yes,66,Central,81,State,Arts,85,Comm&Mgmt,No,68,Mkt&HR,83,Placed,350000
11574,F,23,R,3,3,teacher,at_home,yes,no,no,no,70,State,92,Central,Commerce,87,Sci&Tech,No,90,Mkt&Fin,55,Not Placed,
11575,F,19,R,1,1,teacher,health,no,no,yes,no,86,State,85,State,Commerce,61,Comm&Mgmt,Yes,79,Mkt&HR,75,Not Placed,
11576,F,23,R,1,1,health,teacher,yes,no,yes,no,71,State,67,Central,Arts,84,Comm&Mgmt,No,93,Mkt&HR,87,Placed,400000
11577,M,19,U,1,1,health,teacher,yes,no,no,no,66,Private,71,State,Commerce,50,Comm&Mgmt,No,52,Mkt&Fin,87,Not Placed,
11578,F,18,R,3,2,services,teacher,yes,no,no,yes,59,Private,83,State,Commerce,78,Comm&Mgmt,Yes,81,Mkt&HR,64,Not Placed,
11579,M,23,U,4,4,teacher,services,yes,yes,yes,no,58,Private,59,Private,Science,71,Comm&Mgmt,Yes,90,Mkt&HR,58,Placed,400000
11580,M,19,R,3,2,services,other,yes,yes,yes,no,88,Central,84,Private,Commerce,50,Comm&Mgmt,No,71,Mkt&Fin,79,Placed,400000
11581,F,18,U,2,4,health,teacher,no,no,no,yes,73,State,75,Private,Science,54,Sci&Tech,Yes,63,Mkt&Fin,79,Not Placed,
11582,M,20,U,1,1,health,services,no,no,no,no,54,Central,61,Central,Arts,60,Comm&Mgmt,No,87,Mkt&Fin,69,Not Placed,
11583,F,22,R,1,3,health,at_home,yes,no,no,no,61,Private,82,State,Commerce,77,Comm&Mgmt,Yes,93,Mkt&HR,55,Placed,400000
11584,F,20,R,4,1,other,other,yes,no,no,yes,68,Central,85,Private,Arts,51,Comm&Mgmt,No,81,Mkt&Fin,83,Placed,400000
11585,F,18,U,2,1,services,teacher,no,no,no,no,53,State,54,State,Science,65,Comm&Mgmt,No,91,Mkt&Fin,64,Placed,300000
11586,F,18,U,3,1,health,at_home,yes,yes,yes,yes,93,State,58,Central,Arts,63,Comm&Mgmt,Yes,61,Mkt&HR,92,Placed,255000
11587,F,20,R,1,2,at_home,at_home,yes,no,yes,yes,68,Private,80,State,Arts,92,Sci&Tech,No,78,Mkt&Fin,68,Not Placed,
11588,M,20,U,3,3,teacher,health,yes,no,yes,yes,75,Central,60,State,Commerce,87,Sci&Tech,Yes,60,Mkt&Fin,53,Not Placed,
11589,F,22,R,1,2,teacher,other,no,yes,no,no,81,State,63,State,Commerce,94,Sci&Tech,No,75,Mkt&Fin,91,Not Placed,
11590,M,18,R,3,2,health,at_home,yes,yes,no,no,80,State,84,State,Commerce,72,Comm&Mgmt,Yes,67,Mkt&Fin,72,Placed,250000
11591,M,19,R,1,2,health,at_home,no,no,yes,yes,78,State,61,Central,Commerce,85,Comm&Mgmt,No,68,Mkt&HR,68,Not Placed,
11592,F,21,R,3,1,other,teacher,no,yes,no,yes,70,Private,55,Private,Commerce,92,Comm&Mgmt,No,88,Mkt&Fin,59,Not Placed,
11593,F,19,R,2,3,at_home,services,no,yes,no,no,86,State,83,Central,Science,74,Sci&Tech,No,82,Mkt&HR,82,Not Placed,
11594,M,20,U,1,1,health,other,no,yes,no,no,57,State,84,State,Science,90,Sci&Tech,Yes,88,Mkt&Fin,63,Placed,350000
11595,F,19,R,2,2,other,other,no,yes,no,yes,93,Central,55,Private,Arts,88,Comm&Mgmt,No,71,Mkt&Fin,74,Placed,250000
11596,M,21,R,3,4,services,other,no,no,yes,no,58,State,79,Central,Science,57,Comm&Mgmt,No,72,Mkt&Fin,91,Placed,300000
11597,F,18,U,2,3,health,other,no,no,yes,yes,65,Private,55,State,Arts,75,Sci&Tech,Yes,81,Mkt&Fin,63,Not Placed,
11598,F,22,R,4,4,teacher,services,yes,no,yes,no,70,Central,71,State,Science,95,Comm&Mgmt,No,82,Mkt&HR,89,Placed,400000
11599,M,20,R,4,1,services,teacher,no,yes,yes,no,55,Central,65,Central,Arts,70,Comm&Mgmt,No,64,Mkt&Fin,91,Not Placed,
11600,F,21,R,1,1,health,other,no,yes,yes,yes,60,Central,92,Central,Commerce,60,Sci&Tech,Yes,77,Mkt&Fin,73,Not Placed,
11601,M,18,R,4,4,at_home,teacher,no,yes,yes,no,95,Private,56,Central,Commerce,69,Sci&Tech,Yes,71,Mkt&Fin,79,Placed,250000
11602,M,21,R,4,2,other,at_home,yes,no,no,no,93,Central,64,Private,Science,58,Sci&Tech,Yes,77,Mkt&HR,81,Placed,300000
11603,M,18,U,3,4,health,at_home,yes,yes,no,no,91,State,54,State,Commerce,92,Comm&Mgmt,No,92,Mkt&HR,69,Placed,200000
11604,F,18,R,4,4,at_home,teacher,no,no,no,yes,78,Private,55,Private,Science,70,Sci&Tech,No,63,Mkt&Fin,83,Not Placed,
11605,M,19,R,1,1,at_home,teacher,yes,no,yes,yes,52,State,75,Private,Science,83,Sci&Tech,Yes,92,Mkt&HR,63,Placed,200000
11606,F,19,U,4,3,other,teacher,no,yes,no,yes,90,Private,51,State,Commerce,79,Sci&Tech,No,83,Mkt&Fin,81,Not Placed,
11607,M,22,R,1,1,other,other,yes,yes,no,yes,58,Private,57,Central,Commerce,86,Sci&Tech,No,64,Mkt&Fin,77,Placed,300000
11608,M,22,U,4,3,services,other,yes,no,yes,no,72,Central,87,Private,Arts,69,Comm&Mgmt,No,63,Mkt&Fin,95,Placed,350000
11609,F,20,U,1,3,at_home,services,no,yes,no,yes,93,Private,73,Private,Science,80,Comm&Mgmt,Yes,92,Mkt&HR,59,Placed,250000
11610,F,18,R,3,3,services,teacher,yes,no,no,no,70,Private,89,Central,Science,75,Comm&Mgmt,Yes,86,Mkt&HR,89,Not Placed,
11611,M,20,R,1,4,other,health,yes,no,yes,no,50,Private,82,Private,Commerce,52,Comm&Mgmt,Yes,54,Mkt&Fin,89,Placed,400000
11612,M,22,R,2,3,at_home,other,yes,no,no,no,80,Private,55,Private,Science,95,Sci&Tech,Yes,64,Mkt&Fin,95,Not Placed,
11613,M,20,R,1,2,teacher,teacher,yes,no,no,no,65,State,56,State,Science,86,Comm&Mgmt,Yes,64,Mkt&HR,89,Not Placed,
11614,F,18,U,4,2,other,teacher,yes,yes,no,yes,94,Central,68,State,Science,66,Comm&Mgmt,No,78,Mkt&HR,92,Placed,300000
11615,F,23,R,1,4,other,teacher,no,no,no,yes,86,Central,92,State,Arts,71,Comm&Mgmt,No,52,Mkt&HR,58,Not Placed,
11616,F,18,R,3,4,services,health,no,yes,no,yes,65,Private,75,State,Commerce,79,Comm&Mgmt,No,89,Mkt&Fin,55,Not Placed,
11617,M,22,U,4,1,teacher,teacher,no,no,yes,no,70,State,86,Private,Arts,69,Comm&Mgmt,Yes,80,Mkt&Fin,50,Not Placed,
11618,M,23,R,2,3,health,teacher,no,yes,yes,yes,73,Private,86,State,Science,55,Comm&Mgmt,No,62,Mkt&HR,72,Not Placed,
11619,F,22,U,1,1,other,at_home,yes,no,yes,yes,83,State,92,Central,Science,92,Comm&Mgmt,Yes,50,Mkt&Fin,90,Not Placed,
11620,F,23,R,2,3,teacher,health,yes,yes,no,no,69,Central,74,Central,Arts,55,Comm&Mgmt,Yes,55,Mkt&Fin,59,Placed,300000
11621,F,23,R,4,2,other,at_home,yes,yes,yes,no,82,Private,85,Private,Commerce,73,Comm&Mgmt,Yes,82,Mkt&Fin,58,Not Placed,
11622,M,20,R,4,4,at_home,health,yes,yes,no,yes,88,Private,66,State,Commerce,63,Sci&Tech,Yes,68,Mkt&Fin,78,Not Placed,
11623,M,19,U,1,3,services,health,no,no,no,no,86,State,52,Central,Arts,78,Comm&Mgmt,Yes,61,Mkt&Fin,71,Not Placed,
11624,F,19,U,4,4,other,other,no,no,yes,no,89,State,57,State,Arts,82,Comm&Mgmt,No,89,Mkt&Fin,79,Placed,250000
11625,M,23,U,1,2,other,teacher,no,yes,yes,no,81,Private,51,Central,Commerce,90,Sci&Tech,Yes,75,Mkt&Fin,60,Not Placed,
11626,M,22,R,3,2,other,health,yes,yes,yes,yes,85,State,69,Private,Arts,79,Comm&Mgmt,No,77,Mkt&HR,90,Not Placed,
11627,F,20,R,3,2,teacher,teacher,yes,no,yes,yes,70,Central,91,State,Science,59,Comm&Mgmt,Yes,72,Mkt&HR,58,Not Placed,
11628,M,21,R,1,3,health,health,no,yes,yes,no,59,Central,72,Central,Commerce,80,Sci&Tech,No,72,Mkt&HR,81,Not Placed,
11629,F,20,U,3,3,health,health,no,yes,yes,no,90,State,78,State,Science,88,Comm&Mgmt,Yes,50,Mkt&Fin,61,Not Placed,
11630,M,18,U,2,3,teacher,at_home,no,yes,no,no,84,Private,91,State,Commerce,80,Sci&Tech,Yes,78,Mkt&Fin,82,Placed,350000
11631,F,18,U,3,2,health,teacher,no,no,no,no,89,Private,82,Central,Commerce,85,Sci&Tech,No,86,Mkt&Fin,66,Placed,300000
11632,M,18,R,4,2,teacher,other,no,no,yes,yes,64,State,59,Private,Commerce,78,Comm&Mgmt,No,68,Mkt&HR,61,Placed,350000
11633,M,18,U,2,4,other,services,yes,yes,no,yes,58,State,74,Central,Science,57,Sci&Tech,No,70,Mkt&Fin,62,Placed,300000
11634,F,21,U,1,4,other,teacher,yes,yes,yes,yes,60,Central,71,State,Arts,95,Sci&Tech,No,75,Mkt&HR,56,Placed,455000
11635,F,19,U,1,3,teacher,teacher,no,yes,yes,no,89,Private,67,Private,Arts,70,Sci&Tech,No,82,Mkt&Fin,93,Placed,250000
11636,M,19,R,3,1,services,services,no,no,yes,no,77,Central,82,State,Commerce,66,Comm&Mgmt,Yes,58,Mkt&HR,71,Not Placed,
11637,F,19,U,1,2,other,teacher,no,yes,yes,yes,61,State,80,State,Arts,65,Sci&Tech,No,66,Mkt&Fin,65,Placed,400000
11638,F,23,U,1,1,other,other,no,no,no,no,68,Central,76,Private,Arts,67,Sci&Tech,Yes,51,Mkt&Fin,67,Placed,400000
11639,F,21,U,4,4,health,teacher,no,no,no,yes,82,Central,61,Private,Arts,89,Sci&Tech,Yes,68,Mkt&Fin,68,Placed,250000
11640,M,20,U,4,4,health,teacher,yes,no,no,yes,83,Central,65,State,Commerce,58,Comm&Mgmt,Yes,88,Mkt&Fin,87,Placed,450000
11641,M,20,U,3,4,health,services,yes,no,yes,yes,51,Central,52,Central,Commerce,51,Sci&Tech,No,73,Mkt&HR,91,Placed,400000
11642,F,18,U,1,2,services,teacher,no,no,yes,yes,84,State,52,State,Commerce,93,Comm&Mgmt,No,92,Mkt&HR,50,Placed,350000
11643,M,18,U,4,3,teacher,other,no,no,no,no,79,Central,75,State,Commerce,88,Sci&Tech,Yes,86,Mkt&HR,84,Placed,350000
11644,F,22,R,2,1,other,services,no,yes,yes,no,62,State,61,Private,Commerce,92,Comm&Mgmt,Yes,56,Mkt&Fin,88,Placed,350000
11645,F,23,R,2,4,at_home,other,yes,yes,no,no,84,Central,72,State,Arts,63,Sci&Tech,Yes,61,Mkt&Fin,89,Not Placed,
11646,M,22,U,4,1,health,at_home,no,yes,no,no,54,Central,87,State,Arts,57,Comm&Mgmt,Yes,84,Mkt&Fin,93,Placed,455000
11647,F,20,R,4,4,health,services,yes,no,no,no,61,Private,60,Central,Commerce,72,Sci&Tech,Yes,50,Mkt&HR,82,Not Placed,
11648,M,20,R,2,2,other,health,no,no,no,no,89,Central,72,Private,Arts,78,Comm&Mgmt,No,64,Mkt&Fin,77,Placed,300000
11649,M,23,U,1,1,teacher,services,yes,no,yes,no,62,Central,93,Central,Science,63,Sci&Tech,Yes,76,Mkt&Fin,92,Not Placed,
11650,F,22,R,4,2,at_home,at_home,no,yes,yes,yes,65,Private,75,State,Arts,91,Comm&Mgmt,No,51,Mkt&Fin,51,Not Placed,
11651,F,19,R,2,2,teacher,at_home,yes,yes,yes,no,54,State,51,Central,Science,67,Comm&Mgmt,No,55,Mkt&Fin,94,Not Placed,
11652,M,22,U,2,4,services,health,yes,no,no,yes,94,Central,90,Private,Arts,51,Sci&Tech,Yes,87,Mkt&HR,68,Placed,450000
11653,F,23,R,4,4,services,teacher,yes,no,yes,no,72,Private,77,Private,Commerce,50,Sci&Tech,No,53,Mkt&Fin,62,Not Placed,
11654,F,22,R,1,4,services,teacher,no,yes,no,yes,52,State,61,State,Science,60,Comm&Mgmt,No,71,Mkt&Fin,78,Placed,400000
11655,M,23,R,1,1,services,services,yes,yes,yes,no,70,State,65,State,Commerce,75,Comm&Mgmt,No,71,Mkt&HR,92,Placed,250000
11656,F,23,R,1,4,teacher,services,no,yes,no,no,90,State,89,Central,Arts,63,Sci&Tech,No,82,Mkt&Fin,67,Placed,300000
11657,M,23,U,3,1,teacher,other,no,yes,yes,yes,54,Private,80,Private,Science,89,Sci&Tech,Yes,65,Mkt&Fin,57,Not Placed,
11658,M,22,U,3,1,other,teacher,no,no,no,yes,75,State,81,State,Commerce,89,Comm&Mgmt,No,95,Mkt&HR,59,Placed,455000
11659,M,23,R,4,4,teacher,health,no,no,yes,no,92,Private,72,State,Commerce,56,Sci&Tech,Yes,51,Mkt&HR,53,Not Placed,
11660,F,19,U,1,3,at_home,other,yes,yes,no,yes,66,State,51,Private,Arts,81,Sci&Tech,No,80,Mkt&HR,50,Placed,400000
11661,F,21,R,4,4,services,health,yes,no,yes,no,56,Private,65,Central,Science,59,Comm&Mgmt,Yes,90,Mkt&HR,88,Placed,300000
11662,M,22,R,4,4,services,at_home,yes,yes,yes,yes,95,Central,72,State,Science,88,Comm&Mgmt,No,87,Mkt&HR,72,Not Placed,
11663,F,19,R,2,1,services,health,yes,no,yes,yes,78,Private,88,Private,Commerce,76,Sci&Tech,Yes,52,Mkt&Fin,64,Not Placed,
11664,F,18,U,4,4,services,other,yes,yes,no,no,64,State,52,Central,Arts,78,Sci&Tech,No,77,Mkt&Fin,91,Placed,455000
11665,F,22,U,3,1,other,services,no,yes,no,yes,60,Private,67,Private,Commerce,61,Sci&Tech,Yes,54,Mkt&HR,90,Placed,350000
11666,F,22,R,2,1,health,health,yes,no,yes,yes,71,Private,70,Private,Commerce,67,Sci&Tech,Yes,77,Mkt&HR,75,Placed,250000
11667,M,21,R,2,3,services,services,no,yes,yes,yes,80,Central,68,Private,Commerce,78,Sci&Tech,Yes,85,Mkt&HR,62,Not Placed,
11668,F,21,R,2,1,other,other,yes,yes,yes,no,80,Central,76,State,Arts,75,Sci&Tech,No,76,Mkt&HR,70,Not Placed,
11669,M,18,R,4,3,teacher,teacher,yes,no,yes,yes,71,State,93,Central,Arts,75,Sci&Tech,No,74,Mkt&HR,88,Placed,250000
11670,F,21,U,4,3,services,at_home,no,no,no,no,92,State,93,State,Science,79,Sci&Tech,Yes,87,Mkt&HR,52,Placed,455000
11671,F,21,U,1,3,other,health,yes,yes,no,no,51,State,85,Central,Commerce,86,Comm&Mgmt,No,51,Mkt&Fin,60,Placed,200000
11672,M,22,R,1,1,services,at_home,yes,yes,yes,no,76,Private,78,Central,Commerce,52,Sci&Tech,Yes,65,Mkt&HR,59,Not Placed,
11673,M,22,R,4,4,other,other,yes,no,yes,no,90,Central,53,State,Arts,65,Sci&Tech,Yes,50,Mkt&Fin,79,Placed,400000
11674,M,18,R,3,4,health,other,no,yes,no,no,91,Central,92,State,Arts,75,Sci&Tech,Yes,58,Mkt&Fin,54,Placed,300000
11675,F,19,U,1,3,services,health,no,no,yes,no,59,Central,69,Central,Commerce,71,Sci&Tech,No,74,Mkt&HR,66,Not Placed,
11676,M,19,U,4,4,services,services,no,no,yes,no,88,State,91,Private,Arts,71,Sci&Tech,No,69,Mkt&Fin,66,Placed,350000
11677,M,21,R,4,3,teacher,services,yes,no,yes,no,69,Central,89,Central,Science,60,Comm&Mgmt,Yes,78,Mkt&HR,90,Placed,350000
11678,F,18,R,3,1,other,other,yes,no,yes,no,56,Private,79,State,Arts,71,Comm&Mgmt,No,70,Mkt&Fin,50,Not Placed,
11679,F,21,R,3,2,health,health,no,no,yes,no,58,Central,75,Central,Science,84,Sci&Tech,No,66,Mkt&HR,95,Not Placed,
11680,F,18,R,2,2,health,at_home,yes,yes,yes,yes,60,Private,83,State,Arts,60,Sci&Tech,No,90,Mkt&HR,55,Placed,400000
11681,M,23,U,2,1,teacher,health,yes,no,no,yes,51,Central,93,State,Science,71,Sci&Tech,Yes,95,Mkt&Fin,76,Not Placed,
11682,M,19,U,3,4,health,teacher,yes,yes,yes,no,72,Central,85,Private,Science,92,Sci&Tech,Yes,63,Mkt&HR,93,Not Placed,
11683,F,20,U,1,1,at_home,at_home,no,yes,yes,yes,76,Private,59,State,Commerce,56,Comm&Mgmt,Yes,76,Mkt&Fin,70,Placed,350000
11684,M,20,R,1,1,at_home,health,no,no,yes,no,54,Central,51,Central,Commerce,82,Sci&Tech,No,54,Mkt&HR,58,Not Placed,
11685,F,23,R,3,1,other,other,no,no,no,yes,52,Central,69,Central,Commerce,86,Sci&Tech,Yes,79,Mkt&HR,86,Placed,300000
11686,F,22,R,4,1,services,health,yes,no,no,yes,54,Central,72,Central,Commerce,61,Sci&Tech,Yes,72,Mkt&Fin,69,Not Placed,
11687,F,22,U,2,1,other,health,yes,no,yes,yes,63,State,62,State,Science,64,Sci&Tech,No,55,Mkt&HR,60,Placed,400000
11688,M,22,U,1,1,teacher,teacher,no,no,no,yes,82,State,56,Central,Science,87,Sci&Tech,No,67,Mkt&HR,85,Placed,450000
11689,F,22,R,4,1,services,other,yes,yes,yes,yes,87,Private,92,Private,Science,56,Comm&Mgmt,Yes,83,Mkt&HR,55,Not Placed,
11690,F,20,R,1,4,services,services,yes,no,no,yes,62,State,94,Private,Arts,59,Comm&Mgmt,No,57,Mkt&Fin,67,Not Placed,
11691,M,21,U,3,3,health,health,yes,no,no,no,62,State,67,Private,Commerce,60,Comm&Mgmt,Yes,62,Mkt&HR,55,Not Placed,
11692,F,20,U,4,2,teacher,other,yes,yes,no,yes,61,State,59,Private,Science,56,Sci&Tech,Yes,91,Mkt&Fin,87,Placed,300000
11693,M,18,U,2,2,other,other,yes,no,no,yes,88,State,67,Central,Arts,84,Comm&Mgmt,Yes,72,Mkt&HR,91,Not Placed,
11694,F,18,U,1,3,services,services,yes,no,yes,no,71,Central,93,State,Commerce,58,Comm&Mgmt,No,69,Mkt&HR,79,Not Placed,
11695,F,21,R,3,1,at_home,services,no,yes,no,no,61,State,75,Private,Science,54,Sci&Tech,Yes,64,Mkt&HR,66,Not Placed,
11696,F,21,R,2,3,teacher,health,no,no,no,yes,81,Private,95,Central,Arts,69,Sci&Tech,No,88,Mkt&HR,58,Placed,300000
11697,F,20,R,4,4,health,services,no,yes,no,no,51,State,89,Central,Commerce,88,Sci&Tech,Yes,81,Mkt&HR,94,Placed,250000
11698,M,19,U,2,2,at_home,teacher,no,no,yes,yes,51,Central,62,Private,Commerce,81,Sci&Tech,No,65,Mkt&Fin,86,Not Placed,
11699,F,20,U,4,1,other,services,no,yes,no,no,74,State,67,Private,Arts,74,Comm&Mgmt,No,88,Mkt&HR,76,Not Placed,
11700,M,19,U,2,3,at_home,services,yes,no,yes,yes,94,Central,70,Central,Commerce,90,Comm&Mgmt,No,57,Mkt&Fin,88,Not Placed,
11701,F,22,R,1,3,health,teacher,yes,no,no,yes,85,State,72,Central,Science,65,Sci&Tech,Yes,64,Mkt&HR,54,Placed,250000
11702,M,18,U,4,3,health,at_home,no,yes,yes,yes,91,State,70,State,Arts,61,Comm&Mgmt,No,66,Mkt&HR,95,Placed,250000
11703,F,22,U,2,4,at_home,teacher,no,yes,no,no,67,State,72,Private,Arts,54,Sci&Tech,Yes,89,Mkt&Fin,70,Not Placed,
11704,M,22,U,2,3,services,teacher,no,no,no,no,55,Private,72,Central,Commerce,76,Sci&Tech,No,73,Mkt&Fin,53,Placed,250000
11705,M,20,R,1,1,services,services,no,yes,no,yes,95,State,77,Central,Commerce,63,Sci&Tech,No,61,Mkt&HR,50,Not Placed,
